TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-07-31 15:39:10.542393	29	119537664	65536	1028395008	70180864	[26.671871, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:10.629891	75	119537664	65536	1028395008	70230016	[39.08046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:10.717394	59	119537664	65536	1028395008	70303744	[58.62069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:10.805386	58	119537664	65536	1028395008	70316032	[57.471264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:10.900338	66	119537664	65536	1028395008	70348800	[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.000680	88	119537664	65536	1028395008	70324224	[68.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.120779	72	119537664	65536	1028395008	70504448	[67.521368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.244191	67	119537664	65536	1028395008	70320128	[72.222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.334085	65	119537664	65536	1028395008	70320128	[61.797753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.430322	58	119537664	65536	1028395008	70320128	[57.894737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.519091	65	119537664	65536	1028395008	70320128	[75.280899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.611261	67	119537664	65536	1028395008	70320128	[71.73913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.699750	63	119537664	65536	1028395008	70320128	[61.363636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.799336	55	119537664	65536	1028395008	70320128	[56.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:11.993466	54	119537664	65536	1028395008	70361088	[67.005076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.090967	54	119537664	65536	1028395008	70320128	[68.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.184484	42	119537664	65536	1028395008	70320128	[70.212766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.276489	65	119537664	65536	1028395008	70320128	[72.527473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.361994	71	119537664	65536	1028395008	70320128	[52.380952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.455469	38	119537664	65536	1028395008	70320128	[69.148936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.541990	35	119537664	65536	1028395008	70320128	[75.581395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.629267	34	119537664	65536	1028395008	70320128	[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.716461	34	119537664	65536	1028395008	70320128	[73.563218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.809315	46	119537664	65536	1028395008	70320128	[67.41573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:12.920262	40	119537664	65536	1028395008	70320128	[61.403509, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.024079	38	119537664	65536	1028395008	70320128	[59.615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.109912	30	119537664	65536	1028395008	70320128	[69.767442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.214390	25	119537664	65536	1028395008	70320128	[57.425743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.334409	31	119537664	65536	1028395008	70320128	[63.02521, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.449662	33	119537664	65536	1028395008	70320128	[62.068966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.560392	40	119537664	65536	1028395008	70320128	[56.880734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.675217	33	119537664	65536	1028395008	70320128	[70.689655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.776836	40	119537664	65536	1028395008	70320128	[64.646465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.887353	33	119537664	65536	1028395008	70320128	[58.035714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:13.999012	54	119537664	65536	1028395008	70328320	[67.272727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:14.122008	83	119537664	65536	1028395008	70467584	[63.559322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:14.242012	54	119537664	65536	1028395008	70463488	[67.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:14.330007	30	119537664	65536	1028395008	70365184	[59.550562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 15:39:14.422004	38	119537664	65536	1028395008	70320128	[58.888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
