TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-08-01 13:36:22.380006	16	119537664	65536	1028395008	110206976	[7.904337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:22.465006	57	119537664	65536	1028395008	110206976	[4.761905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:22.556006	48	119537664	65536	1028395008	110206976	[6.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:22.645505	56	119537664	65536	1028395008	110206976	[6.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:22.731507	55	119537664	65536	1028395008	110206976	[4.705882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:22.824505	44	119537664	65536	1028395008	110206976	[6.451613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:22.921868	34	119537664	65536	1028395008	110206976	[6.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:23.034736	47	119537664	65536	1028395008	110206976	[5.405405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:23.136737	52	119537664	65536	1028395008	110206976	[5.769231, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:23.224737	68	119537664	65536	1028395008	110206976	[7.954545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:23.320700	55	119537664	65536	1028395008	110206976	[6.521739, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:23.425362	66	119537664	65536	1028395008	110247936	[6.542056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:23.518030	45	119537664	65536	1028395008	110362624	[6.741573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:23.638530	36	119537664	65536	1028395008	110206976	[5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.065954	27	119537664	65536	1028395008	110206976	[7.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.159964	16	119537664	65536	1028395008	110206976	[6.31068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.261454	30	119537664	65536	1028395008	110206976	[5.940594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.355451	29	119537664	65536	1028395008	110206976	[6.382979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.463452	38	119537664	65536	1028395008	110206976	[5.607477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.559449	40	119537664	65536	1028395008	110206976	[6.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.651950	27	119537664	65536	1028395008	110206976	[6.741573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.756373	28	119537664	65536	1028395008	110215168	[5.825243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.879582	25	119537664	65536	1028395008	110206976	[6.504065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:24.993678	22	119537664	65536	1028395008	110206976	[6.034483, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.094551	33	119537664	65536	1028395008	110206976	[5.940594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.189304	21	119537664	65536	1028395008	110206976	[6.315789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.276340	30	119537664	65536	1028395008	110206976	[6.976744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.376320	29	119537664	65536	1028395008	110206976	[6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.480805	30	119537664	65536	1028395008	110206976	[6.730769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.577805	72	119537664	65536	1028395008	110350336	[6.185567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.662325	55	119537664	65536	1028395008	110260224	[4.761905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.759307	22	119537664	65536	1028395008	110206976	[6.451613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.859308	23	119537664	65536	1028395008	110206976	[6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:25.961805	16	119537664	65536	1028395008	110206976	[5.825243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.060805	52	119537664	65536	1028395008	110206976	[6.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.157804	50	119537664	65536	1028395008	110206976	[6.862745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.242305	50	119537664	65536	1028395008	110206976	[7.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.329306	24	119537664	65536	1028395008	110206976	[4.651163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.424808	26	119537664	65536	1028395008	110206976	[6.315789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.512809	20	119537664	65536	1028395008	110206976	[6.896552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.609285	26	119537664	65536	1028395008	110206976	[6.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.705187	17	119537664	65536	1028395008	110206976	[5.263158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.823035	19	119537664	65536	1028395008	110206976	[5.982906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:26.927619	21	119537664	65536	1028395008	110206976	[5.882353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:27.078364	21	119537664	65536	1028395008	110206976	[6.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:27.190442	27	119537664	65536	1028395008	110206976	[6.086957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:27.278221	35	119537664	65536	1028395008	110206976	[6.896552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:27.376433	40	119537664	65536	1028395008	110206976	[6.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:27.490128	45	119537664	65536	1028395008	110206976	[6.19469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:27.610630	33	119537664	65536	1028395008	110206976	[7.377049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-01 13:36:27.707132	50	119537664	65536	1028395008	110206976	[6.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
