TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-08-02 09:44:54.082889	36	119537664	65536	1028395008	133337088	[17.677796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.167448	15	119537664	65536	1028395008	133337088	[5.882353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.251510	20	119537664	65536	1028395008	133337088	[3.571429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.349391	22	119537664	65536	1028395008	133337088	[5.319149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.451544	21	119537664	65536	1028395008	133337088	[4.901961, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.560625	16	119537664	65536	1028395008	133337088	[4.587156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.662193	42	119537664	65536	1028395008	133402624	[5.825243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.755070	60	119537664	65536	1028395008	133341184	[4.444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.869396	25	119537664	65536	1028395008	133341184	[6.086957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:54.969777	30	119537664	65536	1028395008	133341184	[5.050505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.082020	13	119537664	65536	1028395008	133341184	[4.464286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.184403	46	119537664	65536	1028395008	133341184	[4.761905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.267461	35	119537664	65536	1028395008	133341184	[4.819277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.356543	22	119537664	65536	1028395008	133341184	[4.597701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.447588	30	119537664	65536	1028395008	133341184	[5.555556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.529647	45	119537664	65536	1028395008	133341184	[6.024096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.612223	55	119537664	65536	1028395008	133341184	[4.878049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.696783	25	119537664	65536	1028395008	133341184	[5.952381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.902410	25	119537664	65536	1028395008	133341184	[5.365854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.999497	22	119537664	65536	1028395008	133341184	[5.319149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.168110	35	119537664	65536	1028395008	133341184	[4.848485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.356828	28	119537664	65536	1028395008	133341184	[4.83871, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.483001	12	119537664	65536	1028395008	133341184	[5.426357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
