TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-08-02 09:44:55.724284	53	119537664	65536	1028395008	146649088	[37.44837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.833862	63	119537664	65536	1028395008	146649088	[50.877193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:55.921425	50	119537664	65536	1028395008	146649088	[50.588235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.176116	43	119537664	65536	1028395008	146649088	[51.652893, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.363335	37	119537664	65536	1028395008	146649088	[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.518054	44	119537664	65536	1028395008	146649088	[45.774648, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.678429	35	119537664	65536	1028395008	146649088	[45.180723, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:56.841279	25	119537664	65536	1028395008	146649088	[43.209877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.013250	46	119537664	65536	1028395008	146763776	[49.152542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.111832	50	119537664	65536	1028395008	146644992	[73.076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.198899	35	119537664	65536	1028395008	146644992	[58.62069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.282958	25	119537664	65536	1028395008	146644992	[50.60241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.371003	46	119537664	65536	1028395008	146677760	[40.229885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.457062	30	119537664	65536	1028395008	146677760	[46.511628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.553646	40	119537664	65536	1028395008	146685952	[37.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.646039	55	119537664	65536	1028395008	146726912	[48.888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.769595	47	119537664	65536	1028395008	146788352	[62.608696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:57.887393	22	119537664	65536	1028395008	146735104	[41.935484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.002973	19	119537664	65536	1028395008	146735104	[42.608696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.109797	13	119537664	65536	1028395008	146735104	[46.788991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.208936	29	119537664	65536	1028395008	146759680	[45.833333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.340972	29	119537664	65536	1028395008	146759680	[65.289256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.459838	57	119537664	65536	1028395008	147206144	[54.263566, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.562784	61	119537664	65536	1028395008	147243008	[52.884615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.674462	65	119537664	65536	1028395008	147070976	[56.756757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.791592	38	119537664	65536	1028395008	147058688	[47.826087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:58.905209	18	119537664	65536	1028395008	146878464	[67.256637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:59.026430	32	119537664	65536	1028395008	146890752	[50.413223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:59.655271	18	119537664	65536	1028395008	146907136	[55.681818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:59.767039	56	119537664	65536	1028395008	147042304	[69.918699, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:59.874606	65	119537664	65536	1028395008	147193856	[77.06422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:44:59.988279	43	119537664	65536	1028395008	147005440	[83.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:45:00.083302	50	119537664	65536	1028395008	146964480	[78.723404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:45:00.196539	47	119537664	65536	1028395008	146915328	[85.585586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-02 09:45:00.308664	43	119537664	65536	1028395008	146939904	[76.576577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
