TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-08-03 11:03:07.127829	27	119537664	81920	1028395008	153452544	[29.56591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:07.250104	29	119537664	81920	1028395008	153477120	[64.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:07.361460	33	119537664	81920	1028395008	153452544	[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:07.487217	57	119537664	81920	1028395008	153436160	[36.521739, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:07.595870	56	119537664	81920	1028395008	153292800	[45.87156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:07.705872	28	119537664	81920	1028395008	153292800	[43.119266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:07.811242	33	119537664	81920	1028395008	153292800	[43.396226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:07.911357	30	119537664	81920	1028395008	153292800	[63.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:08.016297	43	119537664	81920	1028395008	153296896	[72.815534, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:08.132976	47	119537664	81920	1028395008	153296896	[73.275862, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:08.265602	48	119537664	81920	1028395008	153370624	[78.787879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-08-03 11:03:08.387049	34	119537664	81920	1028395008	153395200	[75.833333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
