TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-07-27 11:16:23.093476	50	119537664	65536	1028395008	80850944	[38.537338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.212589	100	119537664	65536	1028395008	80924672	[60.344828, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.316065	94	119537664	65536	1028395008	81039360	[50.47619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.418064	84	119537664	65536	1028395008	81059840	[54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.504080	80	119537664	65536	1028395008	81182720	[52.272727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.605252	84	119537664	65536	1028395008	81281024	[55.102041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.709372	63	119537664	65536	1028395008	81096704	[58.490566, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.810044	83	119537664	65536	1028395008	80994304	[54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:23.916154	68	119537664	65536	1028395008	81006592	[50.943396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.029085	75	119537664	65536	1028395008	81141760	[48.214286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.126038	96	119537664	65536	1028395008	81252352	[56.701031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.229898	75	119537664	65536	1028395008	81252352	[52.427184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.329925	86	119537664	65536	1028395008	81289216	[64.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.429216	80	119537664	65536	1028395008	81424384	[46.464646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.533458	93	119537664	65536	1028395008	81510400	[63.366337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.648028	82	119537664	65536	1028395008	81575936	[56.637168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.750316	61	119537664	65536	1028395008	81575936	[51.428571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.867820	61	119537664	65536	1028395008	81575936	[55.172414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:24.995710	68	119537664	65536	1028395008	81575936	[47.692308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.097525	69	119537664	65536	1028395008	81575936	[61.764706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.208022	86	119537664	65536	1028395008	81645568	[57.272727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.322522	68	119537664	65536	1028395008	81653760	[48.245614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.411522	65	119537664	65536	1028395008	81575936	[61.363636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.510543	54	119537664	65536	1028395008	81600512	[53.535354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.626026	68	119537664	65536	1028395008	81805312	[46.956522, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.717024	75	119537664	65536	1028395008	81989632	[57.777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.802023	63	119537664	65536	1028395008	82063360	[52.380952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.904584	67	119537664	65536	1028395008	82137088	[58.415842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.003693	68	119537664	65536	1028395008	82210816	[49.494949, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.120533	50	119537664	65536	1028395008	82284544	[50.45045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.233429	72	119537664	65536	1028395008	82309120	[52.136752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.349635	54	119537664	65536	1028395008	82444288	[51.724138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.455628	69	119537664	65536	1028395008	82554880	[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.553885	55	119537664	65536	1028395008	82628608	[53.608247, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.647981	75	119537664	65536	1028395008	82677760	[55.319149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.754040	54	119537664	65536	1028395008	82677760	[50.943396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.863502	71	119537664	65536	1028395008	82677760	[53.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.968899	60	119537664	65536	1028395008	82788352	[57.017544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.064906	85	119537664	65536	1028395008	82935808	[54.166667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.188516	82	119537664	65536	1028395008	83271680	[52.066116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.299933	86	119537664	65536	1028395008	83464192	[57.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.414025	75	119537664	65536	1028395008	83464192	[55.263158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.516290	75	119537664	65536	1028395008	83611648	[52.941176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.602525	67	119537664	65536	1028395008	83685376	[59.302326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.708083	72	119537664	65536	1028395008	83709952	[53.846154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.798658	80	119537664	65536	1028395008	83709952	[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.904691	79	119537664	65536	1028395008	83709952	[58.653846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.046610	67	119537664	65536	1028395008	83709952	[49.65035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.136890	88	119537664	65536	1028395008	83709952	[60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.228189	88	119537664	65536	1028395008	83845120	[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.351925	86	119537664	65536	1028395008	83992576	[51.219512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.448328	75	119537664	65536	1028395008	84127744	[56.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.546131	71	119537664	65536	1028395008	84226048	[55.102041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.640633	75	119537664	65536	1028395008	84250624	[58.695652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.735887	71	119537664	65536	1028395008	84250624	[56.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.827631	79	119537664	65536	1028395008	84250624	[50.549451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:28.927706	80	119537664	65536	1028395008	84250624	[54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.029017	75	119537664	65536	1028395008	84324352	[54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.131366	83	119537664	65536	1028395008	84348928	[52.941176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.221920	75	119537664	65536	1028395008	84348928	[48.888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.313773	79	119537664	65536	1028395008	84348928	[58.241758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.407245	63	119537664	65536	1028395008	84348928	[56.989247, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.495162	85	119537664	65536	1028395008	84348928	[51.724138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.595541	80	119537664	65536	1028395008	84348928	[54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.688989	71	119537664	65536	1028395008	84348928	[46.236559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.785476	80	119537664	65536	1028395008	84361216	[55.208333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.878165	65	119537664	65536	1028395008	84434944	[55.913978, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:29.977274	63	119537664	65536	1028395008	84496384	[53.061224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.067114	67	119537664	65536	1028395008	84496384	[56.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.193848	82	119537664	65536	1028395008	84611072	[48.412698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.288136	75	119537664	65536	1028395008	84668416	[44.680851, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.401402	60	119537664	65536	1028395008	84496384	[65.178571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.491373	60	119537664	65536	1028395008	84496384	[47.777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.587048	65	119537664	65536	1028395008	84496384	[45.263158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.685351	63	119537664	65536	1028395008	84496384	[53.061224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:30.803649	59	119537664	65536	1028395008	84496384	[51.456311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
