TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-07-31 11:04:00.389277	33	119537664	65536	1028395008	93212672	[31.318272, 1.235361, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:00.483290	75	119537664	65536	1028395008	93200384	[35.789474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:00.570774	55	119537664	65536	1028395008	93265920	[47.727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:00.685286	61	119537664	65536	1028395008	93474816	[46.491228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:00.787233	58	119537664	65536	1028395008	93585408	[39.795918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:00.914196	68	119537664	65536	1028395008	93990912	[51.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.022483	59	119537664	65536	1028395008	94175232	[53.703704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.129511	52	119537664	65536	1028395008	94420992	[48.113208, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.267774	67	119537664	65536	1028395008	94728192	[51.851852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.370498	43	119537664	65536	1028395008	94932992	[59.047619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.471622	22	119537664	65536	1028395008	94875648	[27.272727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.587761	38	119537664	65536	1028395008	94932992	[31.578947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.707434	35	119537664	65536	1028395008	94875648	[43.220339, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.822443	34	119537664	65536	1028395008	94875648	[60.169492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:01.942434	25	119537664	65536	1028395008	94875648	[77.310924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.060927	28	119537664	65536	1028395008	94875648	[71.551724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.165449	42	119537664	65536	1028395008	94924800	[55.660377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.286938	45	119537664	65536	1028395008	95010816	[50.413223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.422447	57	119537664	65536	1028395008	95420416	[46.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.524428	40	119537664	65536	1028395008	95514624	[45.631068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.631927	50	119537664	65536	1028395008	95551488	[49.074074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.724929	36	119537664	65536	1028395008	95617024	[45.555556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.834928	38	119537664	65536	1028395008	95703040	[49.541284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:02.967432	34	119537664	65536	1028395008	95973376	[44.69697, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:03.076934	36	119537664	65536	1028395008	96022528	[45.945946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:03.163948	42	119537664	65536	1028395008	96100352	[51.724138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:03.263930	44	119537664	65536	1028395008	96247808	[42.268041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-31 11:04:03.370885	44	119537664	65536	1028395008	96370688	[48.598131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
