TimeStamp	CPULoad	DedicatedMemory	DedicatedMemoryUsed	SystemMemory	SystemMemoryUsed	EnginesUtilization
2017-07-27 11:16:25.544534	34	119537664	81920	1028395008	59297792	[48.228125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.634523	55	119537664	81920	1028395008	59297792	[76.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.730039	68	119537664	81920	1028395008	59297792	[73.684211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.821522	65	119537664	81920	1028395008	59297792	[64.444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:25.907080	59	119537664	81920	1028395008	59297792	[68.235294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.015117	54	119537664	81920	1028395008	59297792	[72.222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.122532	59	119537664	81920	1028395008	59297792	[70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.233924	47	119537664	81920	1028395008	59297792	[71.186441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.335011	55	119537664	81920	1028395008	59297792	[68.316832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.423256	61	119537664	81920	1028395008	59297792	[72.413793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.517817	48	119537664	81920	1028395008	59297792	[65.957447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.613511	60	119537664	81920	1028395008	59297792	[63.157895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.705778	54	119537664	81920	1028395008	59297792	[75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.802033	55	119537664	81920	1028395008	59297792	[73.958333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.899831	75	119537664	81920	1028395008	59379712	[74.736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:26.997177	75	119537664	81920	1028395008	59469824	[73.469388, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2017-07-27 11:16:27.090951	65	119537664	81920	1028395008	59502592	[65.934066, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
